ORD,Name,Municipio,State,NOM,InstAG,LocationInsecure,Year,TimeSeries,TimeSeriesAvg,TimeAvg,ExactReport,HP,Yield,Period,Cite,NOM,Yield,Yield1960_T,Yield1960_L,Yield1960_S,Yield1960_E,Yield1990,Yield2007
56,Tepepolco,Tepeapulco,Hidalgo,"TEPEAPULCO, HIDALGO",,FALSE,1554,TRUE,FALSE,FALSE,TRUE,89,1029.00,C16 Sample,Offner (1980),"TEPEAPULCO, HIDALGO",1029.00,706.528371,736.4864865,625,705.720193,751,1310.73466
57,Tepepolco,Tepeapulco,Hidalgo,"TEPEAPULCO, HIDALGO",,FALSE,1555,TRUE,FALSE,TRUE,TRUE,500,5781.00,C16 Sample,Offner (1980),"TEPEAPULCO, HIDALGO",5781.00,706.528371,736.4864865,625,705.720193,751,1310.73466
58,Tepepolco,Tepeapulco,Hidalgo,"TEPEAPULCO, HIDALGO",,FALSE,1556,TRUE,FALSE,TRUE,TRUE,500,5781.00,C16 Sample,Offner (1980),"TEPEAPULCO, HIDALGO",5781.00,706.528371,736.4864865,625,705.720193,751,1310.73466
59,Tepepolco,Tepeapulco,Hidalgo,"TEPEAPULCO, HIDALGO",,FALSE,,FALSE,FALSE,FALSE,TRUE,500,5781.00,C16 Sample,Offner (1980) Usual Yield,"TEPEAPULCO, HIDALGO",5781.00,706.528371,736.4864865,625,705.720193,751,1310.73466
60,Tepepolco,Tepeapulco,Hidalgo,"TEPEAPULCO, HIDALGO",,FALSE,,FALSE,FALSE,FALSE,TRUE,600,6937.20,C16 Sample,Offner (1980) Usual Yield,"TEPEAPULCO, HIDALGO",6937.20,706.528371,736.4864865,625,705.720193,751,1310.73466
61,Tepepolco Average,Tepeapulco,Hidalgo,"TEPEAPULCO, HIDALGO",,FALSE,,FALSE,TRUE,FALSE,TRUE,,4176.78,C16 Sample,Offner (1980),"TEPEAPULCO, HIDALGO",4176.78,706.528371,736.4864865,625,705.720193,751,1310.73466
63,Central Mexico5,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,70,808.65,C18 Sample,Gibson (1964: 310) Late 18th Century Common,,808.65,,,,,,
64,Central Mexico6,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,125,1443.79,C18 Sample,Gibson (1964: 310) Late 18th Century Common,,1443.79,,,,,,
65,Central Mexico7,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,300,3464.69,C18 Sample,von Humboldt c.1800 Fertile lands,,3464.69,,,,,,
66,Central Mexico8,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,400,4619.49,C18 Sample,von Humboldt c.1800 Fertile lands,,4619.49,,,,,,
67,Central Mexico9,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,60,693.17,C18 Sample,von Humboldt c.1800 Most infertile lands,,693.17,,,,,,
68,Central Mexico10,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,80,924.13,C18 Sample,von Humboldt c.1800 Most infertile lands,,924.13,,,,,,
69,Central Mexico11,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,150,1732.49,C18 Sample,von Humboldt c.1800 Common Central Mexico,,1732.49,,,,,,
70,Basin of Mexico,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,200,2309.89,C18 Sample,von Humboldt c.1800 Common Valley of Mexico,,2309.89,,,,,,
71,Axapusco,Axapusco,Mexico,"AXAPUSCO, MEXICO",,FALSE,,FALSE,FALSE,FALSE,TRUE,40,462.21,C18 Sample,"Gibson (1964: 310) Axapusco, early 18th century","AXAPUSCO, MEXICO",462.21,884.3764931,869.5652174,1036.458333,877.6725304,692.1,1508.901271
72,Tlalmanalco,Tlalmanalco,Mexico,"TLALMANALCO, MEXICO",,FALSE,1757,FALSE,FALSE,FALSE,TRUE,133,1536.17,C18 Sample,"Gibson (1964: 310) Tlalmanalco, 1757","TLALMANALCO, MEXICO",1536.17,950.5068575,1059.322034,1199.623352,734.8484848,1544.5,2347.431531
73,Haz. Acuicuilco (Huejotzingo)1,San Salvador el Verde,Puebla,"SAN SALVADOR EL VERDE, PUEBLA",,FALSE,1768,FALSE,FALSE,FALSE,TRUE,215,2483.11,C18 Sample,"Ouweneel (1996: 113-4) Haz. Acuicuilco (Huejotzingo), 1768","SAN SALVADOR EL VERDE, PUEBLA",2483.11,901.2468828,882.3529412,1056.25879,810.4026846,1509.9,3062.856487
74,Haz. Acuicuilco (Huejotzingo)2,San Salvador el Verde,Puebla,"SAN SALVADOR EL VERDE, PUEBLA",,FALSE,,FALSE,FALSE,FALSE,TRUE,139,1605.46,C18 Sample,"Ouweneel (1996: 113-4) Haz. Acuicuilco (Huejotzingo), c.1760","SAN SALVADOR EL VERDE, PUEBLA",1605.46,901.2468828,882.3529412,1056.25879,810.4026846,1509.9,3062.856487
