Location,State,Region,Size,NOM,Yield,Series,,,,,
TLANALAPA,Hidalgo,,Ejido,"TLANALAPA, HIDALGO",792.0792079,AG Census 1960,,,,,
TLANALAPA,Hidalgo,,Large,"TLANALAPA, HIDALGO",902.4390244,AG Census 1960,,,,,
TLAXCOAPAN,Hidalgo,,Ejido,"TLAXCOAPAN, HIDALGO",909.8966027,AG Census 1960,,,,,
TLAXCOAPAN,Hidalgo,,Total,"TLAXCOAPAN, HIDALGO",1112.589228,AG Census 1960,,,,,
TLAXCOAPAN,Hidalgo,,Small,"TLAXCOAPAN, HIDALGO",1500,AG Census 1960,,,,,
TLAXCOAPAN,Hidalgo,,Large,"TLAXCOAPAN, HIDALGO",1512.893983,AG Census 1960,,,,,
TOLCAYUCA,Hidalgo,,Large,"TOLCAYUCA, HIDALGO",680.9378186,AG Census 1960,,,,,
TOLCAYUCA,Hidalgo,,Total,"TOLCAYUCA, HIDALGO",727.9767667,AG Census 1960,,,,,
TOLCAYUCA,Hidalgo,,Small,"TOLCAYUCA, HIDALGO",747.7477477,AG Census 1960,,,,,
TOLCAYUCA,Hidalgo,,Ejido,"TOLCAYUCA, HIDALGO",750.140056,AG Census 1960,,,,,
TULA DE ALLENDE,Hidalgo,,Ejido,"TULA DE ALLENDE, HIDALGO",837.5022823,AG Census 1960,,,,,
TULA DE ALLENDE,Hidalgo,,Total,"TULA DE ALLENDE, HIDALGO",879.9880881,AG Census 1960,,,,,
TULA DE ALLENDE,Hidalgo,,Large,"TULA DE ALLENDE, HIDALGO",1000,AG Census 1960,,,,,
TULA DE ALLENDE,Hidalgo,,Small,"TULA DE ALLENDE, HIDALGO",1090.909091,AG Census 1960,,,,,
VILLA DE TEZONTEPEC,Hidalgo,,Small,"VILLA DE TEZONTEPEC, HIDALGO",531.3283208,AG Census 1960,,,,,
VILLA DE TEZONTEPEC,Hidalgo,,Ejido,"VILLA DE TEZONTEPEC, HIDALGO",792.1727395,AG Census 1960,,,,,
VILLA DE TEZONTEPEC,Hidalgo,,Total,"VILLA DE TEZONTEPEC, HIDALGO",796.12695,AG Census 1960,,,,,
VILLA DE TEZONTEPEC,Hidalgo,,Large,"VILLA DE TEZONTEPEC, HIDALGO",947.1488178,AG Census 1960,,,,,
ZAPOTLAN DE JUAREZ,Hidalgo,,Large,"ZAPOTLAN DE JUAREZ, HIDALGO",672.7785614,AG Census 1960,,,,,
ZAPOTLAN DE JUAREZ,Hidalgo,,Small,"ZAPOTLAN DE JUAREZ, HIDALGO",690.4761905,AG Census 1960,,,,,
ZAPOTLAN DE JUAREZ,Hidalgo,,Total,"ZAPOTLAN DE JUAREZ, HIDALGO",753.8868674,AG Census 1960,,,,,
ZAPOTLAN DE JUAREZ,Hidalgo,,Ejido,"ZAPOTLAN DE JUAREZ, HIDALGO",780.3697183,AG Census 1960,,,,,
ZEMPOALA,Hidalgo,,Small,"ZEMPOALA, HIDALGO",602.5641026,AG Census 1960,,,,,
ZEMPOALA,Hidalgo,,Total,"ZEMPOALA, HIDALGO",794.0064795,AG Census 1960,,,,,
ZEMPOALA,Hidalgo,,Ejido,"ZEMPOALA, HIDALGO",802.5,AG Census 1960,,,,,
ZEMPOALA,Hidalgo,,Large,"ZEMPOALA, HIDALGO",859.2592593,AG Census 1960,,,,,
ACAMBAY,Mexico,N TOL,Ejido,"ACAMBAY, MEXICO",610.3937008,AG Census 1960,,,,,
ACAMBAY,Mexico,N TOL,Total,"ACAMBAY, MEXICO",719.3409474,AG Census 1960,,,,,
ACAMBAY,Mexico,N TOL,Large,"ACAMBAY, MEXICO",842.7197802,AG Census 1960,,,,,
ACAMBAY,Mexico,N TOL,Small,"ACAMBAY, MEXICO",953.5211268,AG Census 1960,,,,,
ACOLMAN,Mexico,BOM,Ejido,"ACOLMAN, MEXICO",570.1357466,AG Census 1960,,,,,
ACOLMAN,Mexico,BOM,Total,"ACOLMAN, MEXICO",671.4175655,AG Census 1960,,,,,
ACOLMAN,Mexico,BOM,Large,"ACOLMAN, MEXICO",705.8823529,AG Census 1960,,,,,
ACOLMAN,Mexico,BOM,Small,"ACOLMAN, MEXICO",1153.846154,AG Census 1960,,,,,
ACULCO,Mexico,N TOL,Ejido,"ACULCO, MEXICO",691.5748735,AG Census 1960,,,,,
ACULCO,Mexico,N TOL,Total,"ACULCO, MEXICO",776.3861525,AG Census 1960,,,,,
ACULCO,Mexico,N TOL,Large,"ACULCO, MEXICO",822.0408163,AG Census 1960,,,,,
ACULCO,Mexico,N TOL,Small,"ACULCO, MEXICO",909.7918273,AG Census 1960,,,,,
ALMOLOYA DE JUAREZ,Mexico,Toluca,Large,"ALMOLOYA DE JUAREZ, MEXICO",865.6373193,AG Census 1960,,,,,
ALMOLOYA DE JUAREZ,Mexico,Toluca,Total,"ALMOLOYA DE JUAREZ, MEXICO",992.344986,AG Census 1960,,,,,
ALMOLOYA DE JUAREZ,Mexico,Toluca,Small,"ALMOLOYA DE JUAREZ, MEXICO",1015.625,AG Census 1960,,,,,
ALMOLOYA DE JUAREZ,Mexico,Toluca,Ejido,"ALMOLOYA DE JUAREZ, MEXICO",1040.226019,AG Census 1960,,,,,
