ORD,Estado_ID,Estado,ddr_ID,ddr,Cader_ID,Cader,Municipio_ID,Municipio,EstadoMunicipio,Name,Region,INCLUDE,NOM
191,15,Mexico,74,Zumpango,2,San Juan Teotihuacan,92,Teotihuacan,"Teotihuacan, Mexico",Teotihuacan,BOM,TRUE,"TEOTIHUACAN, MEXICO"
192,15,Mexico,75,Texcoco,1,Atenco,93,Tepetlaoxtoc,"Tepetlaoxtoc, Mexico",Tepetlaoxtoc,BOM,TRUE,"TEPETLAOXTOC, MEXICO"
193,15,Mexico,75,Texcoco,7,Atlautla,94,Tepetlixpa,"Tepetlixpa, Mexico",Tepetlixpa,BOM,TRUE,"TEPETLIXPA, MEXICO"
194,15,Mexico,74,Zumpango,3,Cuautitlan,95,Tepotzotlan,"Tepotzotlan, Mexico",Tepotzotlan,BOM,TRUE,"TEPOTZOTLAN, MEXICO"
195,15,Mexico,74,Zumpango,1,Zumpango,96,Tequixquiac,"Tequixquiac, Mexico",Tequixquiac,BOM,TRUE,"TEQUIXQUIAC, MEXICO"
197,15,Mexico,73,Toluca,7,Santiago Tianguistengo,98,Texcalyacac,"Texcalyacac, Mexico",Texcalyacac,Toluca,TRUE,"TEXCALYACAC, MEXICO"
198,15,Mexico,75,Texcoco,2,Texcoco,99,Texcoco,"Texcoco, Mexico",Texcoco,BOM,TRUE,"TEXCOCO, MEXICO"
199,15,Mexico,74,Zumpango,2,San Juan Teotihuacan,100,Tezoyuca,"Tezoyuca, Mexico",Tezoyuca,BOM,TRUE,"TEZOYUCA, MEXICO"
200,15,Mexico,73,Toluca,7,Santiago Tianguistengo,101,Tianguistenco,"Tianguistenco, Mexico",Tianguistenco,Toluca,TRUE,"TIANGUISTENCO, MEXICO"
201,15,Mexico,80,Jilotepec,1,Chapa de Mota,102,Timilpan,"Timilpan, Mexico",Timilpan,North Toluca,TRUE,"TIMILPAN, MEXICO"
202,15,Mexico,75,Texcoco,5,Amecameca,103,Tlalmanalco,"Tlalmanalco, Mexico",Tlalmanalco,BOM,TRUE,"TLALMANALCO, MEXICO"
203,15,Mexico,74,Zumpango,4,Nicolas Romero,104,Tlalnepantla de Baz,"Tlalnepantla de Baz, Mexico",Tlalnepantla de Baz,BOM,TRUE,"TLALNEPANTLA DE BAZ, MEXICO"
205,15,Mexico,73,Toluca,5,Toluca,106,Toluca,"Toluca, Mexico",Toluca,Toluca,TRUE,"TOLUCA, MEXICO"
206,15,Mexico,78,Coatepec Harinas,10,Tonatico,107,Tonatico,"Tonatico, Mexico",Tonatico,Toluca,TRUE,"TONATICO, MEXICO"
207,15,Mexico,74,Zumpango,3,Cuautitlan,108,Tultepec,"Tultepec, Mexico",Tultepec,BOM,TRUE,"TULTEPEC, MEXICO"
208,15,Mexico,74,Zumpango,3,Cuautitlan,109,Tultitlan,"Tultitlan, Mexico",Tultitlan,BOM,TRUE,"TULTITLAN, MEXICO"
211,15,Mexico,80,Jilotepec,1,Chapa de Mota,112,Villa del Carbon,"Villa del Carbon, Mexico",Villa del Carbon,BOM,TRUE,"VILLA DEL CARBON, MEXICO"
212,15,Mexico,78,Coatepec Harinas,9,Villa Guerrero,113,Villa Guerrero,"Villa Guerrero, Mexico",Villa Guerrero,Toluca,TRUE,"VILLA GUERRERO, MEXICO"
213,15,Mexico,79,Valle de Bravo,2,Villa Victoria,114,Villa Victoria,"Villa Victoria, Mexico",Villa Victoria,Toluca,TRUE,"VILLA VICTORIA, MEXICO"
214,15,Mexico,73,Toluca,9,Xonacatlan,115,Xonacatlan,"Xonacatlan, Mexico",Xonacatlan,BOM,TRUE,"XONACATLAN, MEXICO"
217,15,Mexico,73,Toluca,3,Zinacantepec,118,Zinacantepec,"Zinacantepec, Mexico",Zinacantepec,Toluca,TRUE,"ZINACANTEPEC, MEXICO"
218,15,Mexico,78,Coatepec Harinas,2,Tenancingo,119,Zumpahuacan,"Zumpahuacan, Mexico",Zumpahuacan,Toluca,TRUE,"ZUMPAHUACAN, MEXICO"
219,15,Mexico,74,Zumpango,1,Zumpango,120,Zumpango,"Zumpango, Mexico",Zumpango,BOM,TRUE,"ZUMPANGO, MEXICO"
220,15,Mexico,74,Zumpango,3,Cuautitlan,121,Cuautitlan Izcalli,"Cuautitlan Izcalli, Mexico",Cuautitlan Izcalli,BOM,TRUE,
221,15,Mexico,75,Texcoco,4,Chalco,122,Valle de Chalco Solidaridad,"Valle de Chalco Solidaridad, Mexico",Valle de Chalco Solidaridad,BOM,TRUE,
223,15,Mexico,77,Atlacomulco,2,La Trinidad,124,San Jose del Rincon,"San Jose del Rincon, Mexico",San Jose del Rincon,Toluca,TRUE,
224,15,Mexico,74,Zumpango,1,Zumpango,125,Tonanitla,"Tonanitla, Mexico",Tonanitla,BOM,TRUE,
226,17,Morelos,94,Zacatepec-Galeana,4,Yautepec,2,Atlatlahucan,"Atlatlahucan, Morelos",Atlatlahucan,Northern Morelos,TRUE,"ATLATLAHUCAN, MORELOS"
228,17,Morelos,94,Zacatepec-Galeana,6,Cuautla,4,Ayala,"Ayala, Morelos",Ayala,Northern Morelos,TRUE,"AYALA, MORELOS"
229,17,Morelos,94,Zacatepec-Galeana,2,Alpuyeca,5,Coatlan del Rio,"Coatlan del Rio, Morelos",Coatlan del Rio,Northern Morelos,TRUE,"COATLAN DEL RIO, MORELOS"
