"","Estado_ID","Estado","ddr_ID","ddr","Cader_ID","Cader","Municipio_ID","Municipio","EstadoMunicipio",".remove_duplicates"
"143",15,"Mexico",74,"Zumpango",4,"Nicolas Romero",57,"Naucalpan de Juarez","Naucalpan de Juarez, Mexico",TRUE
"144",15,"Mexico",74,"Zumpango",4,"Nicolas Romero",60,"Nicolas Romero","Nicolas Romero, Mexico",TRUE
"145",15,"Mexico",74,"Zumpango",4,"Nicolas Romero",104,"Tlalnepantla de Baz","Tlalnepantla de Baz, Mexico",TRUE
"146",15,"Mexico",75,"Texcoco",1,"Atenco",11,"Atenco","Atenco, Mexico",TRUE
"147",15,"Mexico",75,"Texcoco",1,"Atenco",20,"Coacalco de Berriozabal","Coacalco de Berriozabal, Mexico",TRUE
"148",15,"Mexico",75,"Texcoco",1,"Atenco",28,"Chiautla","Chiautla, Mexico",TRUE
"149",15,"Mexico",75,"Texcoco",1,"Atenco",30,"Chiconcuac","Chiconcuac, Mexico",TRUE
"150",15,"Mexico",75,"Texcoco",1,"Atenco",33,"Ecatepec de Morelos","Ecatepec de Morelos, Mexico",TRUE
"151",15,"Mexico",75,"Texcoco",1,"Atenco",69,"Papalotla","Papalotla, Mexico",TRUE
"152",15,"Mexico",75,"Texcoco",1,"Atenco",93,"Tepetlaoxtoc","Tepetlaoxtoc, Mexico",TRUE
"153",15,"Mexico",75,"Texcoco",2,"Texcoco",99,"Texcoco","Texcoco, Mexico",TRUE
"154",15,"Mexico",75,"Texcoco",3,"Ixtapaluca",29,"Chicoloapan","Chicoloapan, Mexico",TRUE
"155",15,"Mexico",75,"Texcoco",3,"Ixtapaluca",31,"Chimalhuacan","Chimalhuacan, Mexico",TRUE
"156",15,"Mexico",75,"Texcoco",3,"Ixtapaluca",39,"Ixtapaluca","Ixtapaluca, Mexico",TRUE
"157",15,"Mexico",75,"Texcoco",3,"Ixtapaluca",70,"La Paz","La Paz, Mexico",TRUE
"158",15,"Mexico",75,"Texcoco",4,"Chalco",22,"Cocotitlan","Cocotitlan, Mexico",TRUE
"159",15,"Mexico",75,"Texcoco",4,"Chalco",25,"Chalco","Chalco, Mexico",TRUE
"160",15,"Mexico",75,"Texcoco",4,"Chalco",122,"Valle de Chalco Solidaridad","Valle de Chalco Solidaridad, Mexico",TRUE
"161",15,"Mexico",75,"Texcoco",5,"Amecameca",9,"Amecameca","Amecameca, Mexico",TRUE
"162",15,"Mexico",75,"Texcoco",5,"Amecameca",17,"Ayapango","Ayapango, Mexico",TRUE
"163",15,"Mexico",75,"Texcoco",5,"Amecameca",103,"Tlalmanalco","Tlalmanalco, Mexico",TRUE
"164",15,"Mexico",75,"Texcoco",6,"Juchitepec",50,"Juchitepec","Juchitepec, Mexico",TRUE
"165",15,"Mexico",75,"Texcoco",6,"Juchitepec",83,"Temamatla","Temamatla, Mexico",TRUE
"166",15,"Mexico",75,"Texcoco",6,"Juchitepec",89,"Tenango del Aire","Tenango del Aire, Mexico",TRUE
